url_path,views_total,views_unique
/sysbio-curie/MaBoSS/actions,186,1
/sysbio-curie/MaBoSS,25,6
/sysbio-curie/MaBoSS/commits/master,9,1
/sysbio-curie/MaBoSS/commits/development,6,1
/sysbio-curie/MaBoSS/actions/runs/10181672064,5,1
/sysbio-curie/MaBoSS/actions/runs/10186122952,5,1
/sysbio-curie/MaBoSS/actions/runs/10110752626,4,1
/sysbio-curie/MaBoSS/actions/runs/10161599373,4,1
/sysbio-curie/MaBoSS/actions/runs/10161599373/job/28100953704,4,1
/sysbio-curie/MaBoSS/actions/runs/10161599382,4,1
