url_path,views_total,views_unique
/sysbio-curie/MaBoSS/actions,209,1
/sysbio-curie/MaBoSS/actions/caches,46,1
/sysbio-curie/MaBoSS,39,7
/sysbio-curie/MaBoSS/tree/master/tutorial/MaBoSS-2.0,8,2
/sysbio-curie/MaBoSS/actions/runs/14928081590,6,1
/sysbio-curie/MaBoSS/actions/workflows/maboss-windows.yml,6,1
/sysbio-curie/MaBoSS/actions/runs/14928081590/job/42070814379,5,1
/sysbio-curie/MaBoSS/actions/runs/15073508175,5,1
/sysbio-curie/MaBoSS/actions/workflows/maboss-macos.yml,5,1
/sysbio-curie/MaBoSS/tree/master/tutorial/Montagud_2022_Prostate_Cancer,4,2
