time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-30 00:00:00+00:00,1,1,,
2024-03-31 00:00:00+00:00,1,1,,
2024-04-01 00:00:00+00:00,1,1,,
2024-04-02 00:00:00+00:00,1,1,7.0,1.0
2024-04-03 00:00:00+00:00,1,1,,
2024-04-04 00:00:00+00:00,2,2,17.0,1.0
2024-04-05 00:00:00+00:00,4,3,8.0,4.0
2024-04-06 00:00:00+00:00,1,1,,
2024-04-07 00:00:00+00:00,1,1,,
2024-04-08 00:00:00+00:00,64,3,7.0,2.0
2024-04-09 00:00:00+00:00,437,2,225.0,3.0
2024-04-10 00:00:00+00:00,479,2,141.0,1.0
2024-04-11 00:00:00+00:00,217,2,49.0,2.0
2024-04-12 00:00:00+00:00,411,1,50.0,2.0
