url_path,views_total,views_unique
/sysbio-curie/MaBoSS/actions,284,1
/sysbio-curie/MaBoSS/actions/caches,61,1
/sysbio-curie/MaBoSS,47,8
/sysbio-curie/MaBoSS/tree/master/tutorial/MaBoSS-2.0,8,2
/sysbio-curie/MaBoSS/actions/runs/14928081590,6,1
/sysbio-curie/MaBoSS/actions/workflows/maboss-windows.yml,6,1
/sysbio-curie/MaBoSS/actions/runs/14838512219,5,1
/sysbio-curie/MaBoSS/actions/runs/14841852111,5,1
/sysbio-curie/MaBoSS/actions/runs/14841852135,5,1
/sysbio-curie/MaBoSS/actions/runs/14928081590/job/42070814379,5,1
