time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-17 00:00:00+00:00,24,7,0,0
2026-05-18 00:00:00+00:00,10,4,0,0
2026-05-19 00:00:00+00:00,14,5,0,0
2026-05-20 00:00:00+00:00,14,5,2,1
2026-05-21 00:00:00+00:00,20,6,0,0
2026-05-22 00:00:00+00:00,22,8,0,0
2026-05-23 00:00:00+00:00,4,4,0,0
2026-05-24 00:00:00+00:00,16,7,0,0
2026-05-25 00:00:00+00:00,54,17,0,0
2026-05-26 00:00:00+00:00,418,80,1,1
2026-05-27 00:00:00+00:00,351,83,0,0
2026-05-28 00:00:00+00:00,208,46,0,0
2026-05-29 00:00:00+00:00,8,3,0,0
2026-05-30 00:00:00+00:00,13,7,0,0
